accion;prioridad;publicacion_id;titulo;canal;stock;visitas_30d;precio;capital;vendidas_ene_jul_2025;vendidas_ago_dic_2025;link
SALIDA DE LINEA;1;MCO1339574369;"Pantalón De Drill Para Niño";nacional;58;17;117900;1740000;20;13;https://articulo.mercadolibre.com.co/MCO-1339574369-pantalon-de-drill-para-nino-_JM
SALIDA DE LINEA;1;MCO862276906;"Traje De Niño Elegante Para Bautizo Y Toda Ocasión";nacional;22;43;195900;1540000;5;8;https://articulo.mercadolibre.com.co/MCO-862276906-traje-de-nino-elegante-para-bautizo-y-toda-ocasion-_JM
SALIDA DE LINEA;1;MCO622331212;"Traje De Niño Tipo Bautizo Tirantas - Elegante";nacional;17;10;194800;1164500;0;0;https://articulo.mercadolibre.com.co/MCO-622331212-traje-de-nino-tipo-bautizo-tirantas-elegante-_JM
SALIDA DE LINEA;1;MCO603971573;"Traje De Niño Para Bautizo Chaleco";nacional;14;21;158900;630000;4;0;https://articulo.mercadolibre.com.co/MCO-603971573-traje-de-nino-para-bautizo-chaleco-_JM
SALIDA DE LINEA;1;MCO1506785689;"Traje Completo Niño Pantalon Camisa Chaqueta Corbatin";nacional;2;24;215900;169000;0;0;https://articulo.mercadolibre.com.co/MCO-1506785689-traje-completo-nino-pantalon-camisa-chaqueta-corbatin-_JM
SALIDA DE LINEA;1;MCO622330027;"Traje Para Niño Tipo Bautizo - Elegante";nacional;2;10;265900;166000;0;0;https://articulo.mercadolibre.com.co/MCO-622330027-traje-para-nino-tipo-bautizo-elegante-_JM
SALIDA DE LINEA;1;MCO643096203;"Conjunto Traje Para Niño Tipo Bautizo Elegante Boina";nacional;2;91;84500;50000;3;0;https://articulo.mercadolibre.com.co/MCO-643096203-conjunto-traje-para-nino-tipo-bautizo-elegante-boina-_JM
TIENE TRAFICO, NO CIERRA;2;MCO623723818;"Tirantes Cargadera Niño Ajustable Elastico Premium";sin clasificar;81;25;23900;364500;22;17;https://articulo.mercadolibre.com.co/MCO-623723818-tirantes-cargadera-nino-ajustable-elastico-premium-_JM
TIENE TRAFICO, NO CIERRA;2;MCO1309617114;"Tiara Corona Tocado Para Novia Quinceañera  Brillante";sin clasificar;15;35;68800;302955;8;1;https://articulo.mercadolibre.com.co/MCO-1309617114-tiara-corona-tocado-para-novia-quinceanera-brillante-_JM
TIENE TRAFICO, NO CIERRA;2;MCO2939211738;"Kit Corbata Caballero Pañuelo Elegante";nacional;24;70;44800;247200;30;31;https://articulo.mercadolibre.com.co/MCO-2939211738-kit-corbata-caballero-panuelo-elegante-_JM
