publicacion_id;titulo;linea;visitas_30d;stock;costo_unitario;capital_parado;precio_venta;link
MCO643096203;"Conjunto Traje Para Niño Tipo Bautizo Elegante Boina";ceremonia;91;2;25000;50000;84500;https://articulo.mercadolibre.com.co/MCO-643096203-conjunto-traje-para-nino-tipo-bautizo-elegante-boina-_JM
MCO2939211738;"Kit Corbata Caballero Pañuelo Elegante";accesorios;70;24;10300;247200;44800;https://articulo.mercadolibre.com.co/MCO-2939211738-kit-corbata-caballero-panuelo-elegante-_JM
MCO1711621467;"Anillo 15 Años Acero Princesa Elegante Fiesta";accesorios;70;18;8500;153000;55900;https://articulo.mercadolibre.com.co/MCO-1711621467-anillo-15-anos-acero-princesa-elegante-fiesta-_JM
MCO1313953197;"Tiara Tocado Para Novia Quinceañera Y Primera Comunión Blanco";ceremonia;66;15;0;0;38800;https://articulo.mercadolibre.com.co/MCO-1313953197-tiara-tocado-para-novia-quinceanera-y-primera-comunion-blanco-_JM
MCO636766971;"Kit Primera Comunión Niña Cirio Libro Camandula";ceremonia;60;3;0;0;59900;https://articulo.mercadolibre.com.co/MCO-636766971-kit-primera-comunion-nina-cirio-libro-camandula-_JM
MCO1546038430;"Peineta Tocado Floral Para Novia Primera Comunión O Bautizo ";ceremonia;46;12;8352;100224;47900;https://articulo.mercadolibre.com.co/MCO-1546038430-peineta-tocado-floral-para-novia-primera-comunion-o-bautizo-_JM
MCO612897838;"Cirio Bautizo Pañuelo Blanco Azul Rosa Niña Niño";ceremonia;46;2;14000;28000;54800;https://articulo.mercadolibre.com.co/MCO-612897838-cirio-bautizo-panuelo-blanco-azul-rosa-nina-nino-_JM
MCO862276906;"Traje De Niño Elegante Para Bautizo Y Toda Ocasión";ceremonia;43;22;70000;1540000;195900;https://articulo.mercadolibre.com.co/MCO-862276906-traje-de-nino-elegante-para-bautizo-y-toda-ocasion-_JM
MCO977710565;"Accesorios Para El Cabello Peineta Novia Matrimonio Boda";ceremonia;40;4;15280;61120;49900;https://articulo.mercadolibre.com.co/MCO-977710565-accesorios-para-el-cabello-peineta-novia-matrimonio-boda-_JM
MCO2952431604;"Tirantes Cargaderas + Corbatín Hombre Fiesta Boda Ajustables";accesorios;37;2;15500;31000;59900;https://articulo.mercadolibre.com.co/MCO-2952431604-tirantes-cargaderas-corbatin-hombre-fiesta-boda-ajustables-_JM
MCO1309617114;"Tiara Corona Tocado Para Novia Quinceañera  Brillante";ceremonia;35;15;20197;302955;68800;https://articulo.mercadolibre.com.co/MCO-1309617114-tiara-corona-tocado-para-novia-quinceanera-brillante-_JM
MCO3599154606;"Collar Corazón Infinito Plata 925 Zirconia Mujer Regalo Amor Plateado";accesorios;34;2;5338;10676;89900;https://articulo.mercadolibre.com.co/MCO-3599154606-collar-corazon-infinito-plata-925-zirconia-mujer-regalo-amor-plateado-_JM
MCO2875135390;"Combo Corbata Juvenil Pisa Corbata";accesorios;33;24;8000;192000;45900;https://articulo.mercadolibre.com.co/MCO-2875135390-combo-corbata-juvenil-pisa-corbata-_JM
MCO3425430938;"Collar Rapuncel Joyeria Ajustable Dorado Mujer Corona Dorado";ceremonia;29;8;0;0;35900;https://articulo.mercadolibre.com.co/MCO-3425430938-collar-rapuncel-joyeria-ajustable-dorado-mujer-corona-dorado-_JM
MCO908425521;"Velo De Novia Tipo Mantilla Matrimonio Boda De 3 Metros Blanco";ceremonia;26;5;20347;101735;72900;https://articulo.mercadolibre.com.co/MCO-908425521-velo-de-novia-tipo-mantilla-matrimonio-boda-de-3-metros-blanco-_JM
MCO902474848;"Gorro Para Bebé En Encaje Tipo Pava Para Bautizo Niña Blanco Bebé";ceremonia;26;4;11120;44480;53800;https://articulo.mercadolibre.com.co/MCO-902474848-gorro-para-bebe-en-encaje-tipo-pava-para-bautizo-nina-blanco-bebe-_JM
MCO623723818;"Tirantes Cargadera Niño Ajustable Elastico Premium";ceremonia;25;81;4500;364500;23900;https://articulo.mercadolibre.com.co/MCO-623723818-tirantes-cargadera-nino-ajustable-elastico-premium-_JM
MCO1761638029;"Collar Flor Girasol Mujer Acero Inoxidable Elegante Regalo Dorado";accesorios;25;5;0;0;49800;https://articulo.mercadolibre.com.co/MCO-1761638029-collar-flor-girasol-mujer-acero-inoxidable-elegante-regalo-dorado-_JM
MCO1930208545;"Collar Aretes Pulsera Anillo Para Dama Elegante Verde";accesorios;25;1;0;0;85000;https://articulo.mercadolibre.com.co/MCO-1930208545-collar-aretes-pulsera-anillo-para-dama-elegante-verde-_JM
